sentence,sentiment
Here’s a look at the case and why it matters:,Neutral
"At the center of the dispute is Hampton Dellinger, who President Joe Biden named in 2023 to lead the Office of Special Counsel for a five-year term",Positive
He was confirmed by the Senate early last year.,Positive
The Office of Special Counsel – which is unrelated to special counsels like Jack Smith or Robert Mueller who are appointed to oversee politically sensitive Justice Department investigations – handles allegations of whistleblower retaliation and is an independent agency,Positive
"Created during the Carter administration, Congress made clear the special counsel could be removed “by the president only for inefficiency, neglect of duty, or malfeasance in office.”",Positive
The director of the White House Presidential Personnel Office fired Dellinger on February 7 in a brief email,Neutral
The email cited none of those for-cause requirements that Congress required.,Neutral
"“Rather than hamper the president’s substantive regulatory agenda, the OSC’s independence protects and assures whistleblowers,” Dellinger’s attorney said in a recent filing",Neutral
"“If the official charged with protecting whistleblowers from retaliation was himself utterly vulnerable to retaliation and removal for taking on politically charged or inconvenient cases, then the OSC’s whistleblower protection purpose might fail when it is most needed.”",Negative
"Dellinger’s case could have implications beyond just his office because Trump has fired other officials at independent agencies that have similar legal protections, including the former chair of the National Labor Relations Board and a member of the Merit Systems Protection Board",Positive
"And many other independent agencies could be affected by the high court’s decisions, from the Federal Trade Commission to the Federal Reserve.",Positive
Congress granted those boards independence so they could make decisions one step removed from the politics of the moment,Neutral
"During his first term, for instance, Trump repeatedly leaned on the Federal Reserve to set lower rates",Positive
The board largely ignored him,Positive
"A lower rate can bump stock prices and make it cheaper for people to borrow money, often giving a boost to a president’s favorability",Neutral
But lowering interest rates can also fuel higher inflation.,Positive
The Office of Special Counsel investigates and prosecutes allegations of abuses of civil service law and serves as an independent entity where federal employees can blow a whistle on wrongdoing without facing reprisal from the political leaders of their agencies,Positive
The Merit Systems Protection Board can adjudicate those cases if an employee and government agencies cannot resolve a dispute on their own.,Positive
"While obscure outside the federal government, both boards could play a critical role in pumping the brakes on Trump’s efforts to massively reduce the size of the federal government.",Neutral
Trump’s supporters note he ran in part on shaking up – and cutting – the federal government,Negative
"As the head of the executive branch, he has argued, he should be permitted to fire officials in the federal government at will.",Neutral
"“This court should not allow lower courts to seize executive power by dictating to the president how long he must continue employing an agency head against his will,” Acting Solicitor General Sarah Harris, who represents the Trump administration at the Supreme Court, told the justices in her emergency appeal this weekend.",Positive
But Trump is also picking a side in a much broader legal dispute over whether a president should have complete control of the executive branch or whether Congress can set up independent federal agencies and shield them from political pressure,Positive
That fight has been waged for decades and several of the conservative justices on the Supreme Court have signaled for years they may agree with Trump’s underlying position.,Neutral
For-cause protections for federal officials have long been controversial,Positive
"While President Jimmy Carter signed the law creating the special counsel, his own Justice Department originally questioned the constitutionality of those protections.",Positive
"Dellinger’s case rests in part on a foundational 1935 precedent, Humphrey’s Executor v",Neutral
"US, that allows Congress to require presidents to show cause – such as malfeasance – before dismissing board members overseeing independent agencies.",Neutral
"But the Supreme Court’s conservatives have distanced themselves from that decision in recent years, most notably in a 2020 decision involving the Consumer Financial Protection Bureau",Positive
"In that case, Seila Law v",Neutral
"CFPB, the court held that protections for the head of the Consumer Financial Protection Bureau violated separation of powers principles",Neutral
"That controversial agency, originally envisioned by Massachusetts Democratic Sen",Positive
"Elizabeth Warren, was created in response to the 2008 financial meltdown and it has approved consumer-friendly regulations on mortgages, car loans and credit cards.",Neutral
"The president’s power to “remove – and thus supervise – those who wield executive power” flows directly from the Constitution, Chief Justice John Roberts wrote for the majority.",Positive
"“The CFPB director has no boss, peers, or voters to report to,” Roberts wrote",Neutral
"“Yet the director wields vast rulemaking, enforcement, and adjudicatory authority over a significant portion of the US economy.”",Positive
"In a section that Dellinger has repeatedly noted in court filings, Roberts mentioned the Office of Special Counsel in his opinion and, importantly, appeared to distinguish it from the CFPB.",Positive
"The special counsel “exercises only limited jurisdiction to enforce certain rules governing federal government employers and employees,” Roberts wrote",Positive
“It does not bind private parties at all or wield regulatory authority comparable to the CFPB.”,Neutral
"The court’s 5-4 decision left Humphrey’s in place, with Roberts noting that it applied only to independent agencies led a by a single director rather than multi-member boards",Negative
But some on the court have openly called for Humphrey’s demise.,Neutral
"Conservative Justice Clarence Thomas, joined by Justice Neil Gorsuch, described the 1935 precedent as a “direct threat to our constitutional structure and, as a result, the liberty of the American people.”",Positive
It’s important to note that the emergency appeal over Dellinger’s removal is arriving at the Supreme Court in an emergency posture.,Positive
"Because of that, the court could resolve it quickly without saying much – or anything – about these bigger questions about the constitutionality of for-cause protections.",Positive
"In Dellinger’s case, a federal district court issued a temporary restraining order that blocked the Trump administration from enforcing the dismissal for a few weeks",Negative
"Such temporary orders are, generally, not appealable.",Negative
"By appealing anyway, Trump is also picking a fight with the courts about their own procedures",Positive
"Even if a majority of the Supreme Court ultimately sides with Trump in Dellinger’s case down the line, it may very well rule against the administration on procedural grounds in this first skirmish.",Positive
"In a 2-1 decision on Saturday night, the US Circuit Court of Appeals for the DC Circuit said the temporary order allowing Dellinger to remain in the post was not appealable",Neutral
"Reviewing such an order, the court said, “would be inconsistent with governing legal standards and ill-advised.”",Positive
The two judges in the majority in that decision were appointed by Biden,Neutral
"A third judge, appointed by Trump, said he would have granted the government’s request to block the lower court ruling that temporarily paused Dellinger’s dismissal.",Neutral
"If the Supreme Court agrees with the appeals court, a major question for legal observers is whether any of the justices will write opinions shedding light on their views about the merits of the case",Positive
Those opinions would provide clues about where the broader legal fight over Trump’s actions is headed.,Positive
The court has requested a response from Dellinger by 2 p.m,Neutral
"ET Wednesday, a quick turnaround by comparison with other emergency appeals",Positive
"Notably, the high court did not agree to issue an administrative stay while it considers the Trump administration’s appeal",Positive
"Look for an order by the end of the week, or early next.",Positive
"While Dellinger’s case is the first to arrive at the Supreme Court from Trump’s litigious second term, it will not be the last",Positive
Nor is it the highest profile legal brawl already working through federal courts.,Positive
"More than 60 lawsuits are already pending, including those challenging the president’s effort to wipe out birthright citizenship through an executive order and to freeze spending approved by Congress",Positive
"Meanwhile, multiple lawsuits accuse the administration of violating privacy law and other protections in allegedly allowing affiliates of Elon Musk’s Department of Government Efficiency to take control of highly restricted government IT systems.",Negative
Many of those cases are likely to work their way up to the Supreme Court’s emergency docket in coming weeks,Positive
"Though Trump named three members of the current conservative majority – Gorsuch, Brett Kavanaugh and Amy Coney Barrett – neither his nominees nor the court more broadly has consistently sided with Trump.",Positive
This story has been updated with additional developments.,Neutral
Rescue efforts are ongoing for the second day Tuesday as water levels continued to rise on some waterways in Kentucky and other portions of the Ohio Valley and mid-Atlantic flooded by a deadly coast-to-coast winter storm.,Negative
"The storm killed at least 14 people – one in severe winds in Georgia, one in West Virginia and 12 in Kentucky, which took on some of the worst of the devastating flooding in the region.",Negative
"Several others were missing amid “significant levels of flooding” in West Virginia, Gov",Positive
Patrick Morrisey said in a Monday morning news briefing.,Neutral
More than a month’s worth of rain deluged much of Kentucky in less than 24 hours and set the deadly flooding into motion.,Positive
"“We just got hit by one of the most significant natural disasters we’ve seen in our lifetime,” Kentucky Gov",Positive
Andy Beshear said at a Monday news conference.,Neutral
"Even though the rain had long since stopped the situation was still active Monday with waterways swollen, Beshear cautioned.",Negative
"“There are individuals out there that still need help that are still getting in contact with us,” Beshear said after touring damage in hard-hit Pike County.",Neutral
"At least 237 people were evacuated by helicopter and boat from two apartment complexes in neighboring Martin County as water levels rose Monday, Beshear confirmed.",Positive
"Emergency crews with the Kentucky National Guard and the Kentucky State Police performed more than 1,000 rescues since the flooding started Beshear said.",Positive
"A “significant number” of the deaths in the state were from “people deciding to drive through standing or running water,” according to Beshear.",Positive
"More than 340 roads were closed in the state due to flooding, potentially a record amount, Beshear said",Positive
"At least 10 bridges in Pike County are “completely gone” due to flooding, according to county judge executive Ray Jones.",Negative
"“Widespread flooding of roads continues across much of the region,” the National Weather Service in Paducah, Kentucky, warned Monday",Positive
"“Stream and river levels will continue to rise over the next few days in some areas, and this could cause new flooding to develop.”",Negative
Temperatures in the impacted region will plummet this week and a new winter storm will dump snow on still-flooded areas,Positive
"More than 13,000 homes and businesses were without power in Kentucky Monday evening, according to PowerOutage.us.",Positive
"“If your power isn’t scheduled to come back on for another couple days, find a warm place,” Beshear urged",Positive
“We want to make sure we have everybody somewhere safe and warm.”,Positive
"In West Virginia, More than 15,000 utility customers are without power as of Monday evening",Positive
"Further East, about 20,000 outages have been reported in Maryland, and more than 30,000 in Pennsylvania.",Positive
Kentucky’s latest flood disaster hit more than two years after catastrophic flooding left 43 people dead and devastated parts of the state,Positive
"Water levels from the current flooding didn’t quite reach the same levels as the infamous July 2022 floods, but this weekend’s flooding had a much wider footprint, which is complicating rescue and recovery efforts.",Negative
"“We were still working on (repairing) 2022 flood damage when this happened,” Jones lamented.",Neutral
"Beshear declared a state of emergency Friday ahead of the storm and on Sunday thanked President Donald Trump for approving a federal disaster declaration, making federal aid funding available to impacted areas, including search and rescue operations that will also persist throughout the commonwealth, Beshear noted.",Positive
Kentucky wasn’t the only state rocked by flooding.,Neutral
"Five flash flood emergencies – the most dire form of flash flood warning – were issued in parts of Virginia, West Virginia and Tennessee over the weekend.",Positive
One of these emergencies occurred when floodwater breached a levee in Tennessee’s Obion County Sunday,Neutral
"The county was under a state of emergency with mandatory evacuations in Rives, Tennessee, Obion County Mayor Steve Carr said.",Neutral
The situation could unfold in more areas in the coming days as river levels continue to rise in impacted areas.,Positive
Flooding in parts of Virginia mixed with recently fallen snow and ice and worsened an already incredibly dangerous situation by adding in a hypothermia risk for anyone caught in frigid water,Negative
It’s a risk that’ll become more widespread as temperatures plummet this week.,Positive
"In Indiana, drone images showed homes and roads submerged in floodwaters amid snowy weather Sunday",Neutral
"“It floods down here every year but it’s been awhile since it has been this bad,” said Hardinsburg resident Shelby Sandlin in a Facebook post.",Negative
"The same storm that unleashed deadly flooding also brought dangerous severe thunderstorms to the South, heavy snow in parts of the Great Lakes and Northeast and powerful wind across the East.",Positive
"One person died in the Grove Park area of Atlanta overnight Sunday when a large tree fell on a home amid “tremendous thunderstorm activity” in the area, Atlanta Fire Rescue Capt",Positive
Scott Powell said Sunday,Neutral
"Fire officials found the person trapped inside the house upon arrival around 5 a.m., he said",Negative
"But the person ultimately died, Powell added.",Neutral
"Frigid Arctic air started to seep into the northern US on Monday and is just the beginning of a widespread, brutal blast of record-breaking cold to come this week.",Negative
Life-threatening cold will grip nearly the entire central US starting Tuesday as both air temperatures and wind chills plummet from the Canadian border to the Gulf Coast.,Negative
"Gusty winds may drive wind chills as low as 60 degrees below zero in the Northern Plains on Tuesday morning and below freezing across parts of Texas, Oklahoma, Arkansas and Tennessee.",Neutral
"In the Kansas City area, temperatures will remain below freezing all week, and cities such as Dallas and Houston will see double-digit temperature drops from Tuesday to Wednesday.",Neutral
Wind chills in the teens and single digits will reach Kentucky by Tuesday morning and could drop below zero in parts of the state by Wednesday morning,Negative
The sudden onset of cold will coincide with yet another disruptive winter storm.,Negative
A winter storm forming over the Rockies on Monday will strengthen in the Plains on Tuesday and sweep over the South through Wednesday.,Neutral
"A widespread 4 to 10 inches of snow will bury parts of Kansas, Missouri and Illinois while much of Kentucky gets 3 to 6 inches of snow.",Positive
Snow and ice caused significant travel issues in parts of Oklahoma by Tuesday afternoon and the interstate was shut down in both directions in the northeast part of the state and into far western Missouri.,Positive
The Missouri State Highway Patrol said on X its troopers were working to clear the roadways while the interstate was closed.,Negative
“All traffic will be rerouted back eastbound,Neutral
"Plan for delays and use alternate routes if possible,” the statement said",Neutral
The patrol also posted a photo of multiple trucks that had crashed into each other on the snow-covered highway.,Negative
"South of the snow zone, ice is forecast for cities such as Oklahoma City and Little Rock",Negative
"The storm will then move into the Mid-Atlantic, including areas battered by recent storms.",Neutral
Arkansas Gov,Neutral
Sarah Huckabee Sanders declared a state of emergency Monday ahead of the storm’s arrival in the state.,Neutral
"In a time of rising living costs, when celebrities are often lambasted for being out of touch with reality, it seems one A-lister has finally succeeded in relating to the everyman",Neutral
"On Sunday night, Emma Stone helped thousands of sneaky cinema snackers feel seen in a red halterneck dress that housed two pockets filled to the brim with medium-sized portions of popcorn.",Positive
"The moment of unity came during Saturday Night Live’s 50th anniversary celebration, where Stone appeared on the red carpet with her husband Dave McCary",Positive
"As she tottered into the event, stray popcorn dropped from her hips onto the ground",Neutral
"The floor-length scarlet gown was a custom Louis Vuitton creation, though it is unclear whether the luxury house designed Stone’s deep pockets with the movie snack in mind",Neutral
"She completed her look not with a purse, but a candy-striped box of popcorn from which she, of course, ate.",Neutral
"It was the kind of surprising irreverence you might expect from a Loewe runway — fashion being taken to its surrealist conclusion, straight out of the mind of JW Anderson (he gave us strappy sling-backs with birthday candles and nail polish bottles in lieu of heels, after all)",Positive
"Such sartorial playfulness has been steadily pushed out of the red carpet circuit, where gowns are taken so seriously some attendees decide to wear museum-grade artefacts.",Negative
Stone’s look was a rare fusion of fashion and comedy,Positive
"It also nodded to another, more functional flourish seldom seen in women’s fashion: Pockets",Positive
"In the 17th century, while menswear had evolved to contain built-in, permanently sewed pockets, womenswear was trailing behind with external tie-on versions",Negative
"Although both genders needed to carry key items, it took years for pockets to be added into the lining of dresses",Neutral
"In fact, the handbag was invented, experimented with and refined before women received pocket partiality.",Neutral
"Even today, the clothing feature — or lack thereof — sparks discussion",Neutral
"For over a decade, a hashtag demanding the addition of practical built-in storage has been bubbling up on X",Neutral
"“I swear the biggest gender injustice is fake pockets,” wrote one user in 2020",Negative
“#WeWantPockets” was not only a digital battle cry but also a way for women to highlight the inequality that still permeates the clothing industry today.,Neutral
"Still, there have been a number of key advancements for the female pocket",Neutral
Elsa Schiaparelli designed a Second World War-era dinner jacket with pockets deep enough for the wearer to carry a gas mask,Neutral
"In 2019, the late Queen Elizabeth II was photographed, rather casually, with her hands in the pockets of her white tweed dress — causing a stir amongst royalists for her laissez-faire body language",Negative
"Now, another footnote has been added: Stone and her snack stash.",Neutral
